"feature","coefficient"
"COSMIC_ID_X724866",0.597758675380632
"COSMIC_ID_X724868",-0.955196428806241
"COSMIC_ID_X724869",0.179271105228177
"COSMIC_ID_X724870",-0.742324485192264
"COSMIC_ID_X724872",-0.208466288809492
"COSMIC_ID_X724873",-0.341412866897819
"COSMIC_ID_X724874",0.953486543961314
"COSMIC_ID_X724878",1.24541130284119
"COSMIC_ID_X735784",0.462445427858141
"COSMIC_ID_X749709",-0.281134790298076
"COSMIC_ID_X749710",0.441856381016197
"COSMIC_ID_X749711",0.0730240640526565
"COSMIC_ID_X749712",-0.255911826709455
"COSMIC_ID_X749713",0.14652691487373
"COSMIC_ID_X749714",0.780045073670285
"COSMIC_ID_X749715",-0.767243422735124
"COSMIC_ID_X749716",0.168227547345361
"COSMIC_ID_X749717",0.532376569635479
"COSMIC_ID_X753531",-1.14712404485213
"COSMIC_ID_X753532",-0.41443071745205
"COSMIC_ID_X753533",-0.0610857403153081
"COSMIC_ID_X753534",-0.115300844479007
"COSMIC_ID_X753535",0.65121055522756
"COSMIC_ID_X753538",-0.1868740524925
"COSMIC_ID_X753539",0.0888139330032679
"COSMIC_ID_X753540",-0.451145031151941
"COSMIC_ID_X753541",-0.350515604304574
"COSMIC_ID_X753545",-0.745533293898252
"COSMIC_ID_X753546",0.807532061971426
"COSMIC_ID_X753547",-0.354060525786649
"COSMIC_ID_X753548",-0.365952183457826
"COSMIC_ID_X753549",0.194951821376749
"COSMIC_ID_X753551",0.426433203117106
"COSMIC_ID_X753552",-0.637173732732167
"COSMIC_ID_X753554",-0.337598798932335
"COSMIC_ID_X753555",-0.745877898853635
"COSMIC_ID_X753556",-0.701572100829493
"COSMIC_ID_X753558",0.257211039012431
"COSMIC_ID_X753559",-0.435941290924935
"COSMIC_ID_X753561",-0.614087814298543
"COSMIC_ID_X753562",-0.667027533929476
"COSMIC_ID_X753563",-0.860342808273698
"COSMIC_ID_X753564",-0.803852651911572
"COSMIC_ID_X753565",-0.125034179617326
"COSMIC_ID_X753566",0.964786676890971
"COSMIC_ID_X753569",-0.0337575049417374
"COSMIC_ID_X753570",-0.629964576969671
"COSMIC_ID_X753572",-1.06644727735107
"COSMIC_ID_X753573",-0.523057941040877
"COSMIC_ID_X753574",0.959121940343413
"COSMIC_ID_X753575",0.967751949073498
"COSMIC_ID_X753576",1.22709178476552
"COSMIC_ID_X753577",0.152021776776336
"COSMIC_ID_X753578",-0.271277426849687
"COSMIC_ID_X753579",0.232758863321096
"COSMIC_ID_X753581",0.508784888035085
"COSMIC_ID_X753582",-0.152505961890331
"COSMIC_ID_X753583",0.749559180007611
"COSMIC_ID_X753584",0.204431084098881
"COSMIC_ID_X753585",-0.467710953043363
"COSMIC_ID_X753586",0.0701956007117806
"COSMIC_ID_X753588",-0.549345635350824
"COSMIC_ID_X753589",1.93585874955988
"COSMIC_ID_X753592",-0.629405137124854
"COSMIC_ID_X753594",-0.266867927367126
"COSMIC_ID_X753595",1.07870264238867
"COSMIC_ID_X753596",-0.401464139477985
"COSMIC_ID_X753600",0.205094212362481
"COSMIC_ID_X753604",-1.44605947953396
"COSMIC_ID_X753605",-0.253578946889508
"COSMIC_ID_X753607",-0.190265642513201
"COSMIC_ID_X753608",-0.325672107208392
"COSMIC_ID_X753610",-0.811043026245016
"COSMIC_ID_X753612",1.01193537769043
"COSMIC_ID_X753614",-0.30118618732999
"COSMIC_ID_X753615",1.0168419276563
"COSMIC_ID_X753616",0.223135654619695
"COSMIC_ID_X753618",-0.666130421320361
"COSMIC_ID_X753620",-0.100160493235099
"COSMIC_ID_X753621",0.339662788957608
"COSMIC_ID_X753622",-0.419867017097809
"COSMIC_ID_X753623",-0.0253050338075655
"COSMIC_ID_X753624",-0.188317582513268
"COSMIC_ID_X905933",0.0546742430590423
"COSMIC_ID_X905934",0.852906996568725
"COSMIC_ID_X905935",1.04025717120302
"COSMIC_ID_X905936",-0.66839954574815
"COSMIC_ID_X905937",-0.633063194908995
"COSMIC_ID_X905938",0.0276250115985844
"COSMIC_ID_X905939",-0.413599180280551
"COSMIC_ID_X905940",0.939972204925094
"COSMIC_ID_X905941",2.09951441339147
"COSMIC_ID_X905942",-0.461406142500047
"COSMIC_ID_X905943",-1.10830878065305
"COSMIC_ID_X905944",-0.071472888694393
"COSMIC_ID_X905945",-0.00968525491437035
"COSMIC_ID_X905946",0.313198857451083
"COSMIC_ID_X905947",-0.480524069886431
"COSMIC_ID_X905948",0.144860315297481
"COSMIC_ID_X905949",-1.06258772027403
"COSMIC_ID_X905950",-0.345795220807128
"COSMIC_ID_X905951",0.330560257779981
"COSMIC_ID_X905952",-0.260432222504104
"COSMIC_ID_X905954",-0.15093988888433
"COSMIC_ID_X905955",0.697860151791908
"COSMIC_ID_X905956",0.406410651769427
"COSMIC_ID_X905957",-0.53084581879491
"COSMIC_ID_X905958",0.512172662941701
"COSMIC_ID_X905959",1.12953123253754
"COSMIC_ID_X905960",-0.299349156734172
"COSMIC_ID_X905961",-0.28526974359717
"COSMIC_ID_X905962",0.314958256841841
"COSMIC_ID_X905963",-0.157575159780539
"COSMIC_ID_X905964",-0.287964609268361
"COSMIC_ID_X905965",-0.93698327886039
"COSMIC_ID_X905967",-0.212010992011361
"COSMIC_ID_X905968",-0.792268838207647
"COSMIC_ID_X905969",0.647752389941518
"COSMIC_ID_X905970",0.982856187960524
"COSMIC_ID_X905971",-0.778523251137186
"COSMIC_ID_X905972",0.374063918756329
"COSMIC_ID_X905973",0.40451149019737
"COSMIC_ID_X905974",-0.746774298879613
"COSMIC_ID_X905975",-0.370029746749409
"COSMIC_ID_X905976",-0.214631724334347
"COSMIC_ID_X905977",0.950463644518653
"COSMIC_ID_X905978",-0.133158921909844
"COSMIC_ID_X905979",0.82215414873419
"COSMIC_ID_X905980",1.72358868393287
"COSMIC_ID_X905981",-0.715393760143918
"COSMIC_ID_X905982",0.284660376963163
"COSMIC_ID_X905983",0.300057071695524
"COSMIC_ID_X905984",-0.992373858271227
"COSMIC_ID_X905985",-0.184402600969212
"COSMIC_ID_X905986",0.273914069517324
"COSMIC_ID_X905989",-0.30511787319585
"COSMIC_ID_X905990",0.520012897259723
"COSMIC_ID_X905991",-0.748760615303461
"COSMIC_ID_X906693",-0.500010831426479
"COSMIC_ID_X906696",-0.634681737132735
"COSMIC_ID_X906746",0.210000879413655
"COSMIC_ID_X906763",-0.15326320287974
"COSMIC_ID_X906765",-0.467859794841592
"COSMIC_ID_X906790",-1.09855651580485
"COSMIC_ID_X906791",0.153229353638106
"COSMIC_ID_X906792",-0.510585950852054
"COSMIC_ID_X906793",-0.57634918623609
"COSMIC_ID_X906794",0.138743465410754
"COSMIC_ID_X906795",0.308596030702502
"COSMIC_ID_X906797",-0.116045662181055
"COSMIC_ID_X906798",-0.281196214316082
"COSMIC_ID_X906801",-0.176816831935733
"COSMIC_ID_X906804",-1.18160167005802
"COSMIC_ID_X906805",0.0772598188848526
"COSMIC_ID_X906807",-0.376241100463347
"COSMIC_ID_X906808",0.586965589033371
"COSMIC_ID_X906812",-0.30112936331395
